base_month,leis_sports_cnt,ref_view_cnt,meet_work_cnt,visit_rel_cnt,edu_trip_cnt,etc_cnt,total_visit_cnt
201501,127063,521304,75791,55457,3621,9432,792668
201502,134718,459032,72552,43058,202,12025,721587
201503,143528,490004,78294,44581,20466,14841,791714
201504,146259,623087,83467,27927,44893,13662,939295
201505,179944,628479,87166,29779,71746,18225,1015339
201506,76661,581219,50916,17557,16271,13763,756387
201507,90603,764619,100920,22237,2648,14345,995372
201508,117021,914476,52321,17440,3859,10006,1115123
201509,58072,672526,61332,120474,25997,24751,963152
201510,141554,662736,168641,45129,46873,31319,1096252
201511,208080,484726,187279,24236,17119,31083,952523
201512,62884,656346,108871,43549,3700,25373,900723
201601,133046,604407,82858,58489,1191,4475,884466
201602,128470,619239,72990,49444,238,9327,879708
201603,148991,621087,84988,37045,22165,6306,920582
201604,155853,744891,87015,26783,47344,4624,1066510
201605,186134,722003,89848,28394,66431,2765,1095575
201606,123254,838651,58238,20383,13420,11295,1065241
201607,109282,894984,107397,23866,2422,5627,1143578
201608,115154,933247,49269,11593,4272,2914,1116449
201609,62085,758247,65527,109992,17574,14539,1027964
201610,134321,692378,150503,47659,57379,28036,1110276
201611,202203,582907,141857,30951,8858,23446,990222
201612,80724,727366,82200,44836,1621,12641,949388
201701,115326,718621,69954,98571,109,2857,1005438
201702,103570,675592,76002,47853,130,2674,905821
201703,90054,724341,91981,66110,19797,8588,1000871
201704,132865,892918,95170,29857,60635,3143,1214588
201705,167295,866575,90130,32054,60053,3230,1219337
201706,123460,953884,63591,19566,14210,12677,1187388
201707,120423,947766,102675,15796,1205,3446,1191311
201708,130712,1040438,48962,12241,4323,3713,1240389
201709,72000,931546,75824,73116,16715,16847,1186048
201710,152179,775827,134329,93209,51842,22293,1229679
201711,223950,645007,156964,34247,12292,25527,1097987
201712,97218,790990,95795,46529,2214,11029,1043775
201801,126413,757889,78743,78741,234,2936,1044956
201802,103573,681718,54538,50344,0,2690,892863
201803,94279,758206,97756,54840,18785,9912,1033778
201804,180153,772325,175460,28582,62892,5109,1224521
201805,149737,823440,52129,41241,73417,65940,1205904
201806,161547,870959,54838,77419,10689,2560,1178012
201807,124283,867169,61369,64040,3123,2906,1122890
201808,136388,949466,36720,15737,3199,5246,1146756
201809,64870,858283,69860,67365,25738,12475,1098591
201810,136051,700049,121210,84105,69517,17315,1128247
201811,131927,769052,41832,80445,12775,0,1036031
201812,181896,708768,21955,37634,1237,25090,976580
201901,110536,835112,24277,46126,687,7392,1024130
201902,114782,760851,71107,42665,0,9485,998890
201903,171844,699855,85051,60751,13402,7320,1038223
201904,194187,745744,89367,68145,52616,8607,1158666
201905,129034,874526,50526,30678,83508,7787,1176059
201906,156384,852915,53699,75809,13114,3099,1155020
201907,58971,945970,63065,76775,2486,10180,1157447
201908,149354,1024831,39634,16986,3144,9183,1243132
201909,67494,796500,64248,68554,20301,15381,1032478
201910,193546,729136,118238,121053,60936,31510,1254419
201911,159208,841307,45887,89593,23770,18003,1177768
201912,83319,930059,62792,45471,2452,19679,1143772
202001,120890,823210,40753,105958,144,13483,1104438
202002,30042,408295,76200,70514,0,14524,599575
202003,27280,324593,54477,56747,0,14079,477176
202004,28394,381297,53859,67017,0,10532,541099
202005,57543,584612,57824,55751,120,9766,765616
202006,27181,681136,59140,87691,0,5380,860528
202007,49742,749450,68728,109765,0,10409,988094
202008,47232,999753,45202,26589,100,8221,1127097
202009,52730,547341,39936,74683,0,11479,726169
202010,140142,704112,112996,101296,0,13909,1072455
202011,145018,827550,63142,87984,82,14593,1138369
202012,45276,450468,52828,52927,0,21563,623062
202101,66786,296742,24075,67606,0,10463,465672
202102,62141,588701,57452,73437,0,8981,790712
202103,78458,643293,93387,55459,0,18619,889216
202104,72673,871832,65902,55939,0,12413,1078759
202105,62320,903956,55769,106745,80,3498,1132368
202106,68387,934448,60504,62745,0,8170,1134254
202107,36274,968782,73069,32663,0,16097,1126885
202108,43445,848667,51875,18128,0,7703,969818
202109,74382,556900,40312,173601,0,22176,867371
202110,159009,770962,203258,76544,15,8367,1218155
202111,114236,884800,97990,66931,703,35387,1200047
202112,183629,708458,110943,54437,1077,28358,1086902
202201,191206,842122,41967,81868,0,9738,1166901
202202,177948,714909,36435,91712,0,5351,1026355
202203,74732,617995,54215,98248,0,24638,869828
202204,102377,843283,99160,97450,761,31738,1174769
202205,94892,918511,127819,121753,5588,33400,1301963
202206,106281,970029,81591,99722,5233,14992,1277848
202207,93984,940925,127469,79347,4168,10952,1256845
