시군구명,년,월,확진자,사망자,데이터기준일
제주특별자치도 서귀포시,2020 ,1 ,0,0,2022-02-08
제주특별자치도 서귀포시,2020 ,2 ,1,0,2022-02-08
제주특별자치도 서귀포시,2020 ,3 ,1,0,2022-02-08
제주특별자치도 서귀포시,2020 ,4 ,1,0,2022-02-08
제주특별자치도 서귀포시,2020 ,5 ,1,0,2022-02-08
제주특별자치도 서귀포시,2020 ,6 ,0,0,2022-02-08
제주특별자치도 서귀포시,2020 ,7 ,1,0,2022-02-08
제주특별자치도 서귀포시,2020 ,8 ,12,0,2022-02-08
제주특별자치도 서귀포시,2020 ,9 ,8,0,2022-02-08
제주특별자치도 서귀포시,2020 ,10 ,0,0,2022-02-08
제주특별자치도 서귀포시,2020 ,11 ,7,0,2022-02-08
제주특별자치도 서귀포시,2020 ,12 ,39,0,2022-02-08
제주특별자치도 서귀포시,2021 ,1 ,13,0,2022-02-08
제주특별자치도 서귀포시,2021 ,2 ,9,0,2022-02-08
제주특별자치도 서귀포시,2021 ,3 ,11,0,2022-02-08
제주특별자치도 서귀포시,2021 ,4 ,30,0,2022-02-08
제주특별자치도 서귀포시,2021 ,5 ,60,0,2022-02-08
제주특별자치도 서귀포시,2021 ,6 ,37,0,2022-02-08
제주특별자치도 서귀포시,2021 ,7 ,132,0,2022-02-08
제주특별자치도 서귀포시,2021 ,8 ,105,0,2022-02-08
제주특별자치도 서귀포시,2021 ,9 ,98,0,2022-02-08
제주특별자치도 서귀포시,2021 ,10 ,53,0,2022-02-08
제주특별자치도 서귀포시,2021 ,11 ,202,1,2022-02-08
제주특별자치도 서귀포시,2021 ,12 ,247,2,2022-02-08
